,training_median
MATS7v,-0.0086218035
MATS6v,-0.0662845
MATS5v,0.018405588
MATS4v,-0.06547891
MATS3v,-0.06971054
MATS2v,0.0013152852
MATS1v,-0.0019286051
MATS7m,-0.003060669
BCUTv-1l,14.701778
MATS5m,-0.022581264
MATS4m,-0.07146585
MATS3m,-0.047810957
MATS2m,0.0012998085
MATS1m,0.05292248
MATS7Z,-0.0027890543
MATS6Z,-0.040173125
MATS5Z,-0.024267094
MATS4Z,-0.072157845
MATS3Z,-0.046730697
MATS2Z,0.0014636868
MATS6m,-0.041140202
MATS6p,-0.062125266
MATS5p,0.042446174
MATS4p,-0.058839686
MATS3p,-0.08097097
MATS2p,0.012632908
MATS1p,-0.044911675
MATS7are,0.004257898
MATS6are,-0.005720918
MATS5are,-0.06608671
MATS4are,-0.10233748
MATS3are,-0.025463264
MATS4se,-0.10874823
MATS1are,0.0037285597
MATS7pe,0.0042015323
MATS6pe,-0.008343895
MATS5pe,-0.06401213
MATS4pe,-0.0990697
MATS3pe,-0.024646332
MATS2pe,0.034876436
MATS1pe,0.020739483
MATS7se,0.00092315837
MATS6se,-0.0042251525
MATS5se,-0.067771606
MATS2are,0.040073823
AATSC4i,-0.102319054
AATSC3i,-0.0707259
AATSC2i,0.052895144
AATSC1i,-0.25969917
AATSC0i,1.5219613
AATSC7p,-0.0016782994
AATSC6p,-0.014456649
AATSC5p,0.0098480005
AATSC4p,-0.013744365
AATSC3p,-0.018832076
AATSC2p,0.0028987713
MATS1Z,0.053672742
AATSC0p,0.2255644
AATSC7are,0.00046813476
AATSC6are,-0.00063763035
AATSC5are,-0.007260366
AATSC4are,-0.011239037
AATSC3are,-0.0027494715
AATSC2are,0.004403891
AATSC1are,0.0004212563
AATSC0are,0.11229689
AATSC7pe,0.00045168312
AATSC6pe,-0.00087012025
AATSC1p,-0.010535661
MATS7s,-0.018554183
MATS6s,-0.028901402
MATS5s,-0.09152471
MATS4s,-0.09823167
MATS3s,0.014602674
MATS2s,0.049724244
MATS1s,-0.019086005
MATS7d,-0.009588825
MATS6d,-0.023434483
MATS5d,0.009757308
MATS4d,-0.048806503
AATSC5i,0.0532626
MATS2d,-0.10941092
MATS1d,0.29742122
MATS7dv,-0.0194051
MATS6dv,-0.03825829
MATS5dv,-0.054800972
MATS4dv,-0.09813675
MATS3dv,-0.06421828
MATS2dv,0.033377707
MATS1dv,0.27510574
AATSC7i,-0.012021488
AATSC6i,-0.079317644
MATS3d,-0.13451591
GATS1p,1.135667
GATS7are,0.90801513
GATS6are,0.8913513
GATS5are,1.1484187
GATS4are,1.2142527
GATS3are,0.95414853
GATS2are,0.852322
GATS1are,0.7363806
GATS7pe,0.9198826
GATS6pe,0.9042356
GATS5pe,1.1353958
MATS7p,-0.0072002113
GATS3pe,0.95097876
GATS2pe,0.8472786
GATS1pe,0.71484035
GATS7se,0.8931749
GATS6se,0.8765315
GATS5se,1.175715
GATS4se,1.2582781
GATS3se,0.9421163
GATS2se,0.7974877
GATS1se,0.7300651
GATS7v,0.992957
GATS4pe,1.1961572
BCUTv-1h,20.90041
BCUTm-1l,11.7005625
BCUTm-1h,16.011522
BCUTZ-1l,5.6892424
BCUTZ-1h,8.023598
BCUTs-1l,1.2383878
BCUTs-1h,7.0093565
BCUTd-1l,0.9772743
BCUTd-1h,3.2105978
BCUTdv-1l,0.99539655
BCUTdv-1h,6.023222
GATS2p,0.9887325
GATS6i,1.0092554
GATS5i,0.9068631
GATS4i,1.0188894
GATS3i,1.0772069
GATS2i,1.1013284
GATS1i,1.3845736
GATS7p,0.9746319
GATS6p,1.0439627
GATS5p,0.91283685
GATS4p,1.0173459
GATS3p,1.0709435
GATS7i,0.9445073
GATS2s,0.55823267
GATS1s,0.5577256
GATS7d,0.9639807
GATS6d,0.940768
GATS5d,0.9451702
GATS4d,1.0475646
GATS3d,1.2314887
GATS2d,1.3444738
GATS1d,0.82528305
GATS7dv,0.9836466
GATS6dv,0.9741825
GATS6v,1.057065
GATS4dv,1.1469696
GATS3dv,1.0420867
GATS2dv,0.94235396
GATS1dv,0.5488591
MATS7i,-0.007693391
MATS6i,-0.050749242
MATS5i,0.033941474
MATS4i,-0.06493012
MATS3i,-0.04524973
MATS2i,0.034343213
MATS1i,-0.16385125
GATS5dv,1.0855263
GATS5v,0.94524026
GATS4v,1.0270545
GATS3v,1.0493956
GATS2v,0.9661247
GATS1v,1.017285
GATS7m,0.978246
GATS6m,1.0004306
GATS5m,1.0125395
GATS4m,1.0621352
GATS3m,0.99740165
GATS2m,0.92003894
GATS3s,0.81810665
GATS7Z,0.9772291
GATS6Z,0.99802184
GATS5Z,1.0159972
GATS4Z,1.0651679
GATS3Z,0.9953663
GATS2Z,0.918511
GATS1Z,0.8022446
GATS7s,0.90612245
GATS6s,0.9266168
GATS5s,1.3571815
GATS4s,1.4261773
GATS1m,0.8064314
